x,y,z,vx,vy,vz,zv
0,0,-0,0,0,0,1
5.23415599201321e-06,-1.83280383345007e-06,0.000120842460424727,0.000279084476374423,-9.77249423231101e-05,-0.00644492977829723,1
1.13902618686923e-05,-7.69190974038903e-06,0.000283744953927586,0.000382147290775716,-0.000321228602362797,-0.00987985885384348,1
1.62844288098479e-05,-1.72345389583342e-05,0.000451274339085558,0.000359410541151483,-0.000588837152793329,-0.0114641196751803,1
1.88050690121325e-05,-2.17896589910231e-05,0.000602345970159783,0.000244201826133992,-0.000424147967834309,-0.0117917965666235,1
1.79381772908305e-05,-2.09066176243117e-05,0.000743360869175755,2.12933319267444e-05,-7.44224697995425e-05,-0.0120281192125964,1
1.46509201049993e-05,-1.666452330987e-05,0.000872711567523164,-0.000200156031013511,0.000243524634615766,-0.011926231473473,1
1.15852356500932e-05,-1.38589910357408e-05,0.000998406322558283,-0.000263931432560568,0.000261120565587388,-0.0120296042629596,1
8.52543199922514e-06,-8.99872309961738e-06,0.00112017362812804,-0.000290022127430827,0.000408324072322639,-0.0120474501263419,1
4.21266991590613e-06,-4.825098180076e-06,0.0012405669203317,-0.00038652817673134,0.000416869770151719,-0.0121152740389561,1
3.10799914356166e-06,-2.47528829214403e-06,0.00135958135522484,-0.000205343455545619,0.00029978005785109,-0.0121413364654821,1
3.50431719724928e-06,-5.87604139092368e-07,0.00147830367478652,-4.28289927663202e-05,0.000230082928196352,-0.0121899377596862,1
1.38152788898021e-06,1.52132953127911e-06,0.00159794315894805,-0.000159249368221089,0.000222106829452189,-0.0123057427617281,1
1.55174301208664e-06,2.92088018434099e-06,0.00171339152820539,-4.27395619483786e-05,0.000171365001338308,-0.0120818682043012,1
2.75736128028585e-07,1.87211790768513e-06,0.00183051013307926,-0.000101817605050746,-1.31184938812836e-05,-0.0121331499233812,1
-2.15383352880516e-06,2.19289254897947e-06,0.00194764495972459,-0.000200987655144414,1.74529862084818e-05,-0.0121601570886077,1
-6.29738043090004e-06,5.96580327087723e-06,0.00206442237579772,-0.000352274141537332,0.000264124295832141,-0.0121500587850989,1
-1.39881395648452e-05,8.64452970891176e-06,0.00218221796693772,-0.000646904248684869,0.000273715558237024,-0.0122194070718633,1
-1.90193074922406e-05,1.05437799598037e-05,0.0022999114093586,-0.000565789748485302,0.000223684124976494,-0.0122380584080879,1
-2.35054943121822e-05,1.23610302061287e-05,0.00241705921666215,-0.000500769356248007,0.000200966051931994,-0.0122082563776428,1
-3.03420431498192e-05,1.52592887823235e-05,0.00253586601161129,-0.000639444819555253,0.000267206013708369,-0.0123123420855949,1
-3.32129464672611e-05,1.90458937868334e-05,0.00265253840591653,-0.000415437945597172,0.000350707452167195,-0.0122022797350343,1
-3.65029943553888e-05,2.12650910935111e-05,0.00276898800865284,-0.000367459660610872,0.000271987205732384,-0.012149612442761,1
-3.97852526739107e-05,2.49969562603984e-05,0.00288558049026562,-0.000350505367217578,0.000348605207740858,-0.0121415261703436,1
-4.39430075884117e-05,3.22861763075895e-05,0.00299867224938262,-0.000404644031868576,0.000618387683573348,-0.0118991839051185,1
-4.94302419416543e-05,3.84325121953074e-05,0.00311295341155553,-0.000514198794876709,0.000632493018157391,-0.0118977168651308,1
-5.59512896528913e-05,4.32022408089903e-05,0.00322964270067189,-0.000622478451853908,0.000543070485190497,-0.0120621241800875,1
-6.12911911847225e-05,4.53615241834535e-05,0.00334872421035928,-0.000578674945125375,0.000333735311155571,-0.0122822082214457,1
-6.62523682202011e-05,4.87285116635342e-05,0.00346548478594637,-0.000537749656734474,0.000344758859103911,-0.0121986578492301,1
-7.23852569386051e-05,5.20129391145837e-05,0.00358154291825561,-0.000603957508299406,0.000342878854840948,-0.0121219723210732,1
-7.88369655544594e-05,5.78310767096804e-05,0.00369790954268044,-0.000648445849719815,0.000515698828295577,-0.0121168503435528,1
-8.3266882707484e-05,5.94036515581174e-05,0.00381508705490032,-0.000525254113442738,0.000284192412085607,-0.0121706123287932,1
-8.91798233832016e-05,5.81234770579906e-05,0.00393198082106828,-0.000584612584337366,9.63841632282139e-06,-0.0121695905808412,1
-9.7036242797432e-05,5.82447591084415e-05,0.00405178735734876,-0.000737980628885635,1.16023143430384e-05,-0.0123686705066836,1
